	feature	num_occurences	av_occurences	bs_model
0	 f__Akkermansiaceae	5	1.0	random_forest
1	 f__Peptostreptococcaceae	5	1.0	random_forest
2	 f__Erysipelotrichaceae	4	0.8	random_forest
3	 f__Enterococcaceae	2	0.4	random_forest
4	 f__Sutterellaceae	2	0.4	random_forest
5	 f__Tannerellaceae	2	0.4	random_forest
6	 f__[Eubacterium]_coprostanoligenes_group	2	0.4	random_forest
7	 f__Erysipelatoclostridiaceae	1	0.2	random_forest
8	 f__Peptostreptococcaceae	4	0.8	grad_boost
9	 f__Akkermansiaceae	3	0.6	grad_boost
10	 f__Erysipelotrichaceae	3	0.6	grad_boost
11	 f__[Eubacterium]_coprostanoligenes_group	2	0.4	grad_boost
12	 f__Enterococcaceae	1	0.2	grad_boost
13	 f__Erysipelatoclostridiaceae	1	0.2	grad_boost
14	 f__Sutterellaceae	1	0.2	grad_boost
15	 f__Tannerellaceae	1	0.2	grad_boost
